,sentinel_image,image,mask1,max_val_swir_nir,num_fire_pixels_mask1
0,T52VFQ_20200821T023551,T52VFQ_20200821T023551_20m_stack_p00018.tif,T52VFQ_20200821T023551_20m_stack_maskf_p00018.tif,3534,0
1,T30SUG_20200821T105631,T30SUG_20200821T105631_20m_stack_p00069.tif,T30SUG_20200821T105631_20m_stack_maskf_p00069.tif,6418,0
2,T52LFL_20200812T013719,T52LFL_20200812T013719_20m_stack_p00187.tif,T52LFL_20200812T013719_20m_stack_maskf_p00187.tif,8025,0
3,T50TLK_20200810T030551,T50TLK_20200810T030551_20m_stack_p00354.tif,T50TLK_20200810T030551_20m_stack_maskf_p00354.tif,6060,0
4,T19FDA_20200827T141049,T19FDA_20200827T141049_20m_stack_p00457.tif,T19FDA_20200827T141049_20m_stack_maskf_p00457.tif,756,0
5,T30UYC_20200821T105631,T30UYC_20200821T105631_20m_stack_p00424.tif,T30UYC_20200821T105631_20m_stack_maskf_p00424.tif,9586,0
6,T43TGH_20200825T053651,T43TGH_20200825T053651_20m_stack_p00334.tif,T43TGH_20200825T053651_20m_stack_maskf_p00334.tif,3618,0
7,T12TUQ_20200813T181931,T12TUQ_20200813T181931_20m_stack_p00039.tif,T12TUQ_20200813T181931_20m_stack_maskf_p00039.tif,7743,0
8,T12TUQ_20200813T181931,T12TUQ_20200813T181931_20m_stack_p00164.tif,T12TUQ_20200813T181931_20m_stack_maskf_p00164.tif,10998,0
9,T20JQR_20200827T141049,T20JQR_20200827T141049_20m_stack_p00033.tif,T20JQR_20200827T141049_20m_stack_maskf_p00033.tif,10581,0
10,T43TGH_20200825T053651,T43TGH_20200825T053651_20m_stack_p00194.tif,T43TGH_20200825T053651_20m_stack_maskf_p00194.tif,1182,0
11,T30UYC_20200821T105631,T30UYC_20200821T105631_20m_stack_p00256.tif,T30UYC_20200821T105631_20m_stack_maskf_p00256.tif,8819,0
12,T22MEA_20200806T135121,T22MEA_20200806T135121_20m_stack_p00270.tif,T22MEA_20200806T135121_20m_stack_maskf_p00270.tif,5013,0
